"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2022","109.735","110.237","111.178","109.560","13,39M","-0,46%"
"28.12.2022","110.237","108.578","110.536","108.578","11,19M","1,53%"
"27.12.2022","108.578","108.739","109.353","107.418","11,16M","-0,15%"
"26.12.2022","108.738","109.699","109.755","108.309","5,22M","-0,87%"
"23.12.2022","109.698","107.552","109.994","107.552","12,85M","2,00%"
"22.12.2022","107.552","107.436","108.383","106.510","11,49M","0,11%"
"21.12.2022","107.433","106.866","107.991","106.066","17,63M","0,53%"
"20.12.2022","106.864","104.740","107.792","104.607","19,13M","2,03%"
"19.12.2022","104.740","102.859","105.107","102.770","16,77M","1,83%"
"16.12.2022","102.856","103.737","104.018","102.248","18,26M","-0,85%"
"15.12.2022","103.738","103.739","105.483","103.014","15,57M","-0,01%"
"14.12.2022","103.746","103.536","104.516","101.632","24,92M","0,20%"
"13.12.2022","103.540","105.345","106.689","103.409","17,70M","-1,71%"
"12.12.2022","105.343","107.518","107.561","103.877","15,48M","-2,02%"
"09.12.2022","107.520","107.250","108.566","107.089","10,68M","0,25%"
"08.12.2022","107.249","109.068","109.286","106.906","14,92M","-1,67%"
"07.12.2022","109.069","110.188","110.247","108.612","13,83M","-1,02%"
"06.12.2022","110.189","109.403","110.663","109.217","13,44M","0,72%"
"05.12.2022","109.401","111.922","112.150","109.270","12,31M","-2,25%"
"02.12.2022","111.924","110.926","113.761","109.963","15,98M","0,90%"
"01.12.2022","110.926","112.479","112.479","110.548","15,19M","-1,39%"
"30.11.2022","112.486","110.910","112.486","110.202","19,70M","1,42%"
"29.11.2022","110.910","108.784","112.187","108.784","14,72M","1,96%"
"28.11.2022","108.782","108.977","109.476","108.378","11,49M","-0,18%"